t,x
0,1
0.01,0.998026728
0.02,0.992114701
0.03,0.982287251
0.04,0.968583161
0.05,0.951056516
0.06,0.929776486
0.07,0.904827052
0.08,0.87630668
0.09,0.844327926
0.1,0.809016994
0.11,0.770513243
0.12,0.728968627
0.13,0.684547106
0.14,0.63742399
0.15,0.587785252
0.16,0.535826795
0.17,0.481753674
0.18,0.425779292
0.19,0.368124553
0.2,0.309016994
0.21,0.248689887
0.22,0.187381315
0.23,0.125333234
0.24,0.06279052
0.25,6.12574E-17
0.26,-0.06279052
0.27,-0.125333234
0.28,-0.187381315
0.29,-0.248689887
0.3,-0.309016994
0.31,-0.368124553
0.32,-0.425779292
0.33,-0.481753674
0.34,-0.535826795
0.35,-0.587785252
0.36,-0.63742399
0.37,-0.684547106
0.38,-0.728968627
0.39,-0.770513243
0.4,-0.809016994
0.41,-0.844327926
0.42,-0.87630668
0.43,-0.904827052
0.44,-0.929776486
0.45,-0.951056516
0.46,-0.968583161
0.47,-0.982287251
0.48,-0.992114701
0.49,-0.998026728
0.5,-1
0.51,-0.998026728
0.52,-0.992114701
0.53,-0.982287251
0.54,-0.968583161
0.55,-0.951056516
0.56,-0.929776486
0.57,-0.904827052
0.58,-0.87630668
0.59,-0.844327926
0.6,-0.809016994
0.61,-0.770513243
0.62,-0.728968627
0.63,-0.684547106
0.64,-0.63742399
0.65,-0.587785252
0.66,-0.535826795
0.67,-0.481753674
0.68,-0.425779292
0.69,-0.368124553
0.7,-0.309016994
0.71,-0.248689887
0.72,-0.187381315
0.73,-0.125333234
0.74,-0.06279052
0.75,-1.83772E-16
0.76,0.06279052
0.77,0.125333234
0.78,0.187381315
0.79,0.248689887
0.8,0.309016994
0.81,0.368124553
0.82,0.425779292
0.83,0.481753674
0.84,0.535826795
0.85,0.587785252
0.86,0.63742399
0.87,0.684547106
0.88,0.728968627
0.89,0.770513243
0.9,0.809016994
0.91,0.844327926
0.92,0.87630668
0.93,0.904827052
0.94,0.929776486
0.95,0.951056516
0.96,0.968583161
0.97,0.982287251
0.98,0.992114701
0.99,0.998026728
1,1
1.01,0.998026728
1.02,0.992114701
1.03,0.982287251
1.04,0.968583161
1.05,0.951056516
1.06,0.929776486
1.07,0.904827052
1.08,0.87630668
1.09,0.844327926
1.1,0.809016994
1.11,0.770513243
1.12,0.728968627
1.13,0.684547106
1.14,0.63742399
1.15,0.587785252
1.16,0.535826795
1.17,0.481753674
1.18,0.425779292
1.19,0.368124553
1.2,0.309016994
1.21,0.248689887
1.22,0.187381315
1.23,0.125333234
1.24,0.06279052
1.25,3.06287E-16
1.26,-0.06279052
1.27,-0.125333234
1.28,-0.187381315
1.29,-0.248689887
1.3,-0.309016994
1.31,-0.368124553
1.32,-0.425779292
1.33,-0.481753674
1.34,-0.535826795
1.35,-0.587785252
1.36,-0.63742399
1.37,-0.684547106
1.38,-0.728968627
1.39,-0.770513243
1.4,-0.809016994
1.41,-0.844327926
1.42,-0.87630668
1.43,-0.904827052
1.44,-0.929776486
1.45,-0.951056516
1.46,-0.968583161
1.47,-0.982287251
1.48,-0.992114701
1.49,-0.998026728
1.5,-1
1.51,-0.998026728
1.52,-0.992114701
1.53,-0.982287251
1.54,-0.968583161
1.55,-0.951056516
1.56,-0.929776486
1.57,-0.904827052
1.58,-0.87630668
1.59,-0.844327926
1.6,-0.809016994
1.61,-0.770513243
1.62,-0.728968627
1.63,-0.684547106
1.64,-0.63742399
1.65,-0.587785252
1.66,-0.535826795
1.67,-0.481753674
1.68,-0.425779292
1.69,-0.368124553
1.7,-0.309016994
1.71,-0.248689887
1.72,-0.187381315
1.73,-0.125333234
1.74,-0.06279052
1.75,-4.28802E-16
1.76,0.06279052
1.77,0.125333234
1.78,0.187381315
1.79,0.248689887
1.8,0.309016994
1.81,0.368124553
1.82,0.425779292
1.83,0.481753674
1.84,0.535826795
1.85,0.587785252
1.86,0.63742399
1.87,0.684547106
1.88,0.728968627
1.89,0.770513243
1.9,0.809016994
1.91,0.844327926
1.92,0.87630668
1.93,0.904827052
1.94,0.929776486
1.95,0.951056516
1.96,0.968583161
1.97,0.982287251
1.98,0.992114701
1.99,0.998026728
2,1
2.01,0.998026728
2.02,0.992114701
2.03,0.982287251
2.04,0.968583161
2.05,0.951056516
2.06,0.929776486
2.07,0.904827052
2.08,0.87630668
2.09,0.844327926
2.1,0.809016994
2.11,0.770513243
2.12,0.728968627
2.13,0.684547106
2.14,0.63742399
2.15,0.587785252
2.16,0.535826795
2.17,0.481753674
2.18,0.425779292
2.19,0.368124553
2.2,0.309016994
2.21,0.248689887
2.22,0.187381315
2.23,0.125333234
2.24,0.06279052
2.25,5.51317E-16
2.26,-0.06279052
2.27,-0.125333234
2.28,-0.187381315
2.29,-0.248689887
2.3,-0.309016994
2.31,-0.368124553
2.32,-0.425779292
2.33,-0.481753674
2.34,-0.535826795
2.35,-0.587785252
2.36,-0.63742399
2.37,-0.684547106
2.38,-0.728968627
2.39,-0.770513243
2.4,-0.809016994
2.41,-0.844327926
2.42,-0.87630668
2.43,-0.904827052
2.44,-0.929776486
2.45,-0.951056516
2.46,-0.968583161
2.47,-0.982287251
