Frequency,Amplitude,,Real,Imag
,,,,
0,0.00166389,,0.00166389,0
0.166389,0.00342253,,0.00342248,1.78904e-005
0.332779,0.00374214,,0.00374193,3.91216e-005
0.499168,0.00443196,,0.00443141,6.94983e-005
0.665557,0.00597369,,0.00597238,0.000124895
0.831947,0.010808,,0.0108043,0.00028245
0.998336,1.00067,,1.00018,0.0313795
1.16473,0.00933029,,-0.00932404,-0.000341328
1.33111,0.00431009,,-0.00430632,-0.000180188
1.4975,0.00267727,,-0.00267431,-0.000125907
1.66389,0.0018808,,-0.00187823,-9.82698e-005
1.83028,0.00141534,,-0.001413,-8.13371e-005
1.99667,0.00111347,,-0.00111128,-6.97992e-005
2.16306,0.000903879,,-0.000901793,-6.13755e-005
2.32945,0.000751142,,-0.000749132,-5.49209e-005
2.49584,0.00063573,,-0.000633777,-4.9796e-005
2.66223,0.000546023,,-0.000544115,-4.56142e-005
2.82862,0.000474697,,-0.000472824,-4.21279e-005
2.99501,0.000416918,,-0.000415073,-3.91703e-005
3.1614,0.000369373,,-0.000367552,-3.66252e-005
3.32779,0.000329725,,-0.000327925,-3.44085e-005
3.49418,0.00029628,,-0.000294496,-3.24582e-005
3.66057,0.000267781,,-0.000266013,-3.07271e-005
3.82696,0.000243283,,-0.000241526,-2.91788e-005
3.99334,0.000222055,,-0.00022031,-2.77848e-005
4.15973,0.000203532,,-0.000201797,-2.65223e-005
4.32612,0.000187266,,-0.000185539,-2.53729e-005
4.49251,0.000172899,,-0.00017118,-2.43214e-005
4.6589,0.000160143,,-0.000158431,-2.33555e-005
4.82529,0.000148763,,-0.000147057,-2.24648e-005
4.99168,0.000138565,,-0.000136864,-2.16405e-005
5.15807,0.000129389,,-0.000127694,-2.08753e-005
5.32446,0.000121102,,-0.000119412,-2.01627e-005
5.49085,0.000113591,,-0.000111905,-1.94975e-005
5.65724,0.000106762,,-0.00010508,-1.88748e-005
5.82363,0.000100533,,-9.88553e-005,-1.82906e-005
5.99002,9.4836e-005,,-9.31618e-005,-1.77413e-005
6.15641,8.96112e-005,,-8.79404e-005,-1.72238e-005
6.3228,8.48076e-005,,-8.314e-005,-1.67353e-005
6.48918,8.03806e-005,,-7.87161e-005,-1.62734e-005
6.65557,7.62917e-005,,-7.463e-005,-1.58359e-005
